,PREOCCUPATION WITH FAILURE,Logical Reasoning,Anticipating and Controlling Latent Signals,Failure Knowledge and Attentiveness,Normalization,Adherence to Standards and Risk Boundaries,Precaution as a Mind-Set,Listening to Various Voices and Inputs,Misestimating Reliability,Complacency,Requisite Variety and Complexity,Organizing for Action-Based Inquiry,Distinctions,Obscuring and Neglecting Significant Information,Organizing for Sense-Discrediting,RELUCTANCE TO SIMPLIFY,Organizational Variety,Redundancy,Action Interpretation and Recursive Interaction,COMMITMENT TO RESILIENCE,System Flexibility and Adaptability,Elasticity and Recovery,Improvisation,Simple Structure,Personal Competence and Confidence,Sensemaking,Understanding the Situation in Real-Time,Responses (Actions) Repertoire,Learning from Failure/Incidents,DEFERENCE TO EXPERTISE,Structure Flexibility,Respectful Yielding,Self-Awareness,Available Expertise,Ignoring Expertise,Domain Specific Experience,Compressed Experience,Overreliance on Experts,ORGANIZATIONAL RELIABILITY,SENSITIVITY TO OPERATION,Loss of Task Attention,Staying Focused,Sustaining Dynamic Situational Awareness,Operations as an Integrated Map,Loss of Situational Awareness,Pressure,Level of Employee Participation,Heedful Interrelating,Self-Interest,Dysfunctional Momentum,Interruptions and Adjustments,Stop-Work-Authority,Reporting of Near Misses and Safety-Critical Events,Fostering Social Ties and Mutual Respect,Fostering a Sense of Personal Accountability for Safety on All Levels,Implementing Safety Huddles,Practicing Tabletop Exercises,Practicing Post-Event Debriefings,Practicing Emergency Drills,Institutionalizing Prosocial Motivation,Institutionalizing Emotional Ambivalence,Managing Reliability Drift,Practicing Individual Mindfulness,Adopting Just-In-Time Learning
PREOCCUPATION WITH FAILURE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Logical Reasoning,0,0,0.44,0,0,0,0,0,0,0,0,0,0.28,-0.31,0,0,0,0,0,0,0,0,0,0,0,0.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.41,0.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anticipating and Controlling Latent Signals,0.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Failure Knowledge and Attentiveness,0,0.43,0.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Normalization,-0.32,0,-0.36,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adherence to Standards and Risk Boundaries,0,0,0.43,0,-0.51,0,0,0,0,0,0,0,0,-0.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Precaution as a Mind-Set,0.4,0,0.43,0,-0.31,0,0,0,-0.35,0,0,0,0,-0.35,0,0,0,0,0,0,0,0,0,0,0,0.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Listening to Various Voices and Inputs,0,0,0.49,0.5,-0.31,0,0.47,0,0,0,0,0,0,-0.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Misestimating Reliability,-0.37,0,-0.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Complacency,0,0,-0.42,0,0.33,-0.44,-0.38,-0.4,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Requisite Variety and Complexity,0,0,0.4,0,-0.28,0,0.35,0.41,0,0,0,0,0.31,-0.39,0.3,0,0.62,0.32,0.34,0,0,0,0,0,0,0,0,0.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Organizing for Action-Based Inquiry,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.31,0,0.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Distinctions,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
